"schema_name","table_name","columns"
dbo,MOODLE_GRADES_TB,3
dbo,Mos_Moodle_Service_tb,2
dbo,Obi_Outcome_Budget_Item_tb,2
dbo,Obr_Outcome_Budget_Subcategory_Region_tb,2
dbo,Ofa_Outcome_Flow_Action_tb,2
dbo,Obf_Outcome_Budget_Flow_Action_tb,2
dbo,Lsu_Logistic_Estimation_Subitem_tb,2
dbo,Mau_Metadata_Author_tb,2
dbo,Moe_Moodle_Event_tb,2
dbo,Lsi_Language_Individual_Need_tb,2
dbo,Lge_Language_Group_Event_tb,2
dbo,LLc_Lessons_Learned_Contact_tb,2
dbo,Lln_Language_Level_Need_tb,2
dbo,Kaf_Knl_Activity_Flow_Action_tb,2
dbo,Kat_Knl_Activity_Target_tb,2
dbo,Kda_Knl_Division_Flow_Action_tb,2
dbo,Kdf_Knl_Department_Flow_Action_tb,2
dbo,Ivg_Invoice_Group_tb,2
dbo,Lea_Logistic_Estimation_Flow_Action_tb,2
dbo,Lfs_Lessons_Learned_Flow_Step_Action_tb,2
dbo,Efa_Event_Facilitator_tb,2
dbo,Gra_Group_Access_tb,2
dbo,Inp_Institution_Phone_tb,2
dbo,Inc_Institution_Contact_tb,2
dbo,Boo_Budget_Item_Operational,2
dbo,Bip_Budget_Item_Plan_Activity_tb,2
dbo,Caj_Catalog_Jobs,2
dbo,Sat_Source_Of_Funding_Activity_tb,2
dbo,Rgt_Registration_Guest_tb,2
dbo,Rfa_Registration_Flow_Action_tb,2
dbo,Rot_Related_Outcomes_tb,2
dbo,Reu_Registration_User_tb,2
dbo,Orl_Output_Relation_tb,2
dbo,Ota_Outcome_Target_Audience_tb,2
dbo,Otd_Output_Target_Departments_tb,2
dbo,Okw_Output_Knowledge_Areas_tb,2
dbo,Oip_Output_Indes_Program_tb,2
dbo,Olt_Outcome_Logistic_tb,2
dbo,Oul_Outcome_Language_tb,2
dbo,Pcp_Program_Course_Precondition_tb,2
dbo,Pre_Person_Restriction_tb,2
dbo,Prg_Person_Group_tb,2
