"schema","table","rows"
dbo,Unt_Unit_tb_jp,887
dbo,bun_Biztalk_Units_tb,887
dbo,Toa_Terms_of_Reference_Attachment_tb,862
dbo,Importation_Unit_tb,848
dbo,Apt_Assign_Private_Teacher_tb,845
dbo,Tom_Topics_Outcome_Metadata_tb,819
dbo,Ifa_Interface_Action_tb,799
dbo,Moe_Moodle_Event_tb,786
dbo,Ifc_Interface_tb,781
dbo,mTt_monthyl_Temporary_table,743
dbo,Ler_Logistic_Estimation_Review_Request_tb,618
DATA_CLOSING_ALL,Data_Plans,612
dbo,Gel_Guest_Email_Log_tb,602
dbo,Pra_Person_Access_tb,554
dbo,Mos_Moodle_Service_tb,518
dbo,Pcl_Program_Course_Language_tb,514
dbo,Toc_Terms_of_Reference_Subcategory_tb,512
dbo,Llk_Lessons_Learned_Keywords_tb,501
dbo,Omdt_OutputMetadata_Translation_tb,471
dbo,user_temp,447
dbo,Prd_Product_tb,436
dbo,Lie_Language_Individual_Evaluation_tb,433
dbo,Kaf_Knl_Activity_Flow_Action_tb,430
dbo,Knp_Knl_Plan_Department_tb,428
dbo,Pco_Program_Course_tb,398
dbo,Kpa_Knl_Plan_Allocation_tb,389
dbo,LLc_Lessons_Learned_Contact_tb,292
dbo,Omd_Output_Metadata_tb,285
dbo,Tde_Tor_Deliverable_tb,248
dbo,Aar_Applicant_Assessment_Report_tb,241
dbo,Ctr_Country_tb,240
dbo,Sct_Self_Learning_Certificate_tb,218
dbo,Oip_Output_Indes_Program_tb,204
dbo,Tjf_Title_Job_Family_Matriz,201
dbo,Pom_Programs_Outcome_Metadata_tb,200
dbo,TEMP_GUEST_FROM_MOODLE_WITH_USER_ID,197
dbo,Isp_Invoice_Semiprivate_tb,182
dbo,Tea_Teacher_tb,181
dbo,Txg_Taxonomy_Genealogy_tb,117
dbo,Mau_Metadata_Author_tb,113
dbo,Tag_Taxonomy_Group_tb,111
dbo,Llb_Lessons_Learned_Body_tb,110
dbo,Llm_Lessons_Learned_Metadata_tb,109
dbo,Lls_Lessons_Learned_tb,109
dbo,Ptp_Program_Training_Plan_tb,106
dbo,Dep_Department_tb,105
dbo,Pft_Proficiency_Test_tb,101
dbo,Kdf_Knl_Department_Flow_Action_tb,97
dbo,Agi_Agenda_Item_tb,96
dbo,Omd_Output_Metadata_tb_old,96
dbo,bps_new_units,88
dbo,Lfs_Lessons_Learned_Flow_Step_Action_tb,81
dbo,Tsc_Tor_Subcategory_tb,80
dbo,Orl_Output_Relation_tb,78
dbo,Lgc_Language_Category_tb,76
dbo,Ipkt_KnowledgeAreas_Translation_tb,68
dbo,Ast_Assign_Semiprivate_Teacher_tb,61
dbo,Prr_Program_Role_tb,52
dbo,Spp_Semiprivate_Person_tb,51
dbo,Fls_Flow_Step_tb,51
dbo,Aaa_Available_Administrative_Account_tb,50
dbo,Slc_Self_Learning_Course_tb,50
dbo,Tcg_Ticket_Class_Group_tb,48
dbo,Tgp_Ticket_Group_Person_tb,47
dbo,Dep_Department_tb_jp,45
dbo,Grp_Group_tb,45
dbo,Wlc_Worklocation_Country_tb,42
dbo,Temp_Bud,38
dbo,Pcp_Program_Course_Precondition_tb,37
dbo,Indes_Related_Courses_tb,36
dbo,Ipk_Indes_Program_Knowledge_Areas_tb,34
dbo,Lng_Language_tb,33
dbo,Lof_Location_features_tb,33
dbo,Rot_Related_Outcomes_tb,26
dbo,Rrl_Region_Relationship_tb,25
dbo,Ipct_IndesProgramCompetencies_Translation_tb,22
dbo,Flw_Flow_tb,21
dbo,Caj_Catalog_Jobs,20
dbo,Lln_Language_Level_Need_tb,20
dbo,Yea_Year_tb,16
dbo,Sec_Section_tb,13
dbo,Trc_Tor_Category_tb,12
dbo,Ipc_Indes_Program_Competencies_tb,11
dbo,Iprt_Program_Translation_tb,10
dbo,knlPortalServices_out_oear_tb,10
dbo,Tig_Ticket_Group_tb,10
dbo,knlPortalServices_parameters_tb,9
dbo,Fll_Flow_Language_tb,9
dbo,Lnl_Language_Level_tb,7
dbo,Ipr_Indes_Program_tb,5
dbo,Rgn_Region_tb,5
dbo,Pro_Program_tb,5
dbo,Lcm_Lesson_Learned_Comment_tb,3
dbo,Ofa_Outcome_Flow_Action_tb,2
dbo,sysdiagrams,1
dbo,Sts_Scheduled_Tasks_Status_tb,0
dbo,sample_omd,0
dbo,Rev_Program_Reviews_tb,0
dbo,Prm_Program_Module_tb,0
dbo,Pre_Person_Restriction_tb,0
dbo,Olt_Outcome_Logistic_tb,0
dbo,Tec_Technical_Cooperation_tb,0
dbo,Uac_Unplanned_Activity_tb,0
dbo,Uao_Unplanned_Activity_Other_Resource_tb,0
dbo,Upd_Unplanned_Deliverable_tb,0
dbo,Udi_Unplanned_Deliverable_Budget_Item_tb,0
dbo,Ufa_Unplanned_Flow_Action_tb,0
dbo,Uta_Unplanned_Target_Audience_tb,0
dbo,Obi_Outcome_Budget_Item_tb,0
dbo,Obr_Outcome_Budget_Subcategory_Region_tb,0
dbo,Oba_Output_badges_tb,0
dbo,Obf_Outcome_Budget_Flow_Action_tb,0
dbo,DTT_DEPARTMENT_TEMPORARY_TB,0
dbo,Efa_Event_Facilitator_tb,0
dbo,Inc_Institution_Contact_tb,0
dbo,Fsl_Flow_Step_Language_tb,0
dbo,Cel_Cell_Phone_tb,0
dbo,bun_Biztalk_Units_tb_jp,0
dbo,bus_Biztalk_Users_tb_jp,0
dbo,Bgi_Budget_Item_tb,0
dbo,Boa_Budget_Org_Unit_Account_tb,0
